,target,time,turkId
19978,2,510.19,ID7
19979,2,510.262005,ID7
19980,2,510.4710000000002,ID7
19984,1,511.58100000000013,ID7
19986,1,511.907,ID7
19987,1,512.104,ID7
19988,1,512.3770049999998,ID7
19989,1,512.703005,ID7
19990,1,513.2040000000002,ID7
19991,1,513.6110000000001,ID7
19992,1,514.6370049999998,ID7
19993,1,514.9700000000001,ID7
19994,1,515.5770000000001,ID7
19998,2,516.7940000000001,ID7
20000,2,517.0960000000001,ID7
20001,2,517.1930000000001,ID7
20002,2,519.0760000000001,ID7
20006,1,520.184005,ID7
20008,1,520.8310000000001,ID7
20009,1,521.8690000000001,ID7
20010,1,522.3600050000001,ID7
20011,1,522.583005,ID7
20012,1,523.229,ID7
20016,3,525.3080000000001,ID7
20018,3,525.5730000000002,ID7
20019,3,525.6480050000001,ID7
20020,3,526.0409999999998,ID7
20021,3,526.9730000000002,ID7
20022,3,527.3430000000002,ID7
20026,5,528.8940000000001,ID7
20028,5,529.3630049999998,ID7
20029,5,529.4250049999998,ID7
20030,5,529.7010000000001,ID7
20031,5,530.729,ID7
20032,5,531.6940050000002,ID7
20033,5,531.9760000000001,ID7
20034,5,532.5269999999998,ID7
20035,5,532.6060000000001,ID7
20036,5,532.7160050000001,ID7
20037,5,532.7880000000001,ID7
20038,5,532.8800000000001,ID7
20039,5,533.28,ID7
20043,4,534.4760000000001,ID7
20045,4,534.641,ID7
20046,4,535.289005,ID7
20050,3,536.2750000000002,ID7
20052,3,536.7830000000001,ID7
20053,3,536.7909999999998,ID7
20054,3,537.2360000000001,ID7
20058,2,538.1290050000001,ID7
20060,2,538.5330000000001,ID7
20061,2,538.7310000000001,ID7
20062,2,539.722005,ID7
20063,2,539.866005,ID7
20064,2,540.1390000000001,ID7
20068,1,540.9460000000001,ID7
20070,1,541.2140049999998,ID7
20071,1,541.338005,ID7
20072,1,541.6050050000001,ID7
20073,1,541.6990000000002,ID7
20074,1,542.405,ID7
20075,1,542.7500000000001,ID7
20079,1,545.635005,ID7
20081,1,545.8510000000001,ID7
20082,1,545.872,ID7
20083,1,546.950005,ID7
20087,5,548.2380049999998,ID7
20089,5,549.059005,ID7
20090,5,549.1830000000001,ID7
20091,5,549.756,ID7
20095,0,552.958005,ID7
20097,0,553.3500000000001,ID7
20099,0,553.7210000000001,ID7
20101,0,554.112,ID7
20103,0,555.751005,ID7
20105,0,555.859,ID7
20109,0,559.7440000000001,ID7
20112,0,564.164005,ID7
20115,5,572.248,ID7
20118,5,572.4259999999998,ID7
20119,5,572.5950000000001,ID7
20120,5,572.6920050000001,ID7
20121,5,572.804,ID7
20122,5,572.939005,ID7
20123,5,573.1759999999998,ID7
20124,5,573.5330000000001,ID7
20125,5,573.6980000000002,ID7
20126,5,573.805,ID7
20127,5,573.9280050000001,ID7
20128,5,574.065,ID7
20129,5,574.5210050000002,ID7
20130,5,574.6940050000002,ID7
20131,5,574.756,ID7
20132,5,575.4209999999998,ID7
20133,5,575.6460050000002,ID7
20134,5,575.7180000000002,ID7
20135,5,576.0910050000001,ID7
20136,5,576.3240000000002,ID7
20137,5,576.4130000000001,ID7
20138,5,576.5459999999998,ID7
20139,5,576.805,ID7
20140,5,577.3170050000001,ID7
20141,5,577.3750000000001,ID7
20142,5,577.5730000000002,ID7
20143,5,577.6830000000001,ID7
20144,5,578.753,ID7
20150,2,581.9670000000001,ID7
20153,2,582.208005,ID7
20154,2,582.304,ID7
20155,2,582.338005,ID7
20156,2,582.5020049999998,ID7
20157,2,582.9590000000002,ID7
20158,2,582.9710000000001,ID7
20159,2,583.2040000000002,ID7
20160,2,583.304,ID7
20161,2,583.415005,ID7
20162,2,583.4620000000001,ID7
20163,2,583.6000000000001,ID7
20164,2,583.7240050000001,ID7
20165,2,583.8460000000001,ID7
20166,2,584.0319999999998,ID7
20167,2,584.2310000000001,ID7
20168,2,584.515005,ID7
20169,2,584.6140000000001,ID7
20170,2,584.6870000000001,ID7
20171,2,585.5710000000001,ID7
20172,2,585.7240050000001,ID7
20173,2,585.9670000000001,ID7
20174,2,587.155,ID7
20175,2,587.3370000000001,ID7
20176,2,587.8260000000001,ID7
20182,1,589.3940000000001,ID7
20185,1,589.838005,ID7
20186,1,589.963005,ID7
20187,1,590.1110000000001,ID7
20188,1,590.246005,ID7
20189,1,590.453005,ID7
20190,1,590.5169999999998,ID7
